corruption,severity,severity_rank,parameter,mean_predicted_entropy,mean_kl,top1_accuracy
gaussian_noise,mild,1,0.05,1.6185210494995117,1.3526307525634766,0.496
gaussian_noise,moderate,2,0.1,1.3442387771606445,2.3422257041931154,0.3295
gaussian_noise,severe,3,0.2,1.206266731262207,3.694694089889526,0.2295
gaussian_blur,mild,1,3.0,1.781455696105957,1.5574006290435791,0.4155
gaussian_blur,moderate,2,5.0,1.827657875061035,1.9451482009887695,0.322
gaussian_blur,severe,3,7.0,1.839792678833008,2.1877523765563964,0.279
contrast_reduction,mild,1,0.7,1.7817071304321288,1.3917662658691405,0.463
contrast_reduction,moderate,2,0.5,1.8692258834838866,1.991186574935913,0.3375
contrast_reduction,severe,3,0.3,1.8246355056762695,2.903027219772339,0.2195
