entropy_group,attack,acc_drop,kl_shift,ent_shift
high,fgsm,0.21999999999999997,3.211527360975742,-0.5279243075218983
high,pgd,0.26,5.890547124445438,-0.8795175336283865
low,fgsm,0.5800000000000001,4.668077156250365,-0.15016180836362758
low,pgd,0.64,8.195743806143291,-0.5089461898326408
